Category: All categories,
Week,drone racing: (Worldwide)
4/27/14,0
5/4/14,0
5/11/14,0
5/18/14,0
5/25/14,0
6/1/14,0
6/8/14,0
6/15/14,0
6/22/14,0
6/29/14,0
7/6/14,0
7/13/14,0
7/20/14,0
7/27/14,1
8/3/14,1
8/10/14,1
8/17/14,0
8/24/14,1
8/31/14,1
9/7/14,0
9/14/14,0
9/21/14,0
9/28/14,0
10/5/14,2
10/12/14,3
10/19/14,5
10/26/14,3
11/2/14,2
11/9/14,2
11/16/14,1
11/23/14,3
11/30/14,6
12/7/14,7
12/14/14,5
12/21/14,5
12/28/14,4
1/4/15,5
1/11/15,5
1/18/15,4
1/25/15,6
2/1/15,6
2/8/15,6
2/15/15,6
2/22/15,5
3/1/15,6
3/8/15,7
3/15/15,7
3/22/15,8
3/29/15,8
4/5/15,6
4/12/15,7
4/19/15,5
4/26/15,6
5/3/15,6
5/10/15,6
5/17/15,5
5/24/15,5
5/31/15,6
6/7/15,12
6/14/15,12
6/21/15,12
6/28/15,11
7/5/15,9
7/12/15,13
7/19/15,17
7/26/15,20
8/2/15,11
8/9/15,15
8/16/15,12
8/23/15,10
8/30/15,10
9/6/15,10
9/13/15,10
9/20/15,10
9/27/15,12
10/4/15,11
10/11/15,12
10/18/15,10
10/25/15,12
11/1/15,12
11/8/15,12
11/15/15,13
11/22/15,15
11/29/15,12
12/6/15,12
12/13/15,14
12/20/15,18
12/27/15,19
1/3/16,16
1/10/16,12
1/17/16,13
1/24/16,100
1/31/16,51
2/7/16,33
2/14/16,27
2/21/16,25
2/28/16,24
3/6/16,27
3/13/16,34
3/20/16,28
3/27/16,22
4/3/16,24
4/10/16,30
4/17/16,27
4/24/16,27
5/1/16,28
5/8/16,26
5/15/16,25
5/22/16,22
5/29/16,28
6/5/16,22
6/12/16,18
6/19/16,24
6/26/16,23
7/3/16,22
7/10/16,19
7/17/16,23
7/24/16,19
7/31/16,26
8/7/16,26
8/14/16,22
8/21/16,19
8/28/16,18
9/4/16,20
9/11/16,36
9/18/16,28
9/25/16,22
10/2/16,24
10/9/16,25
10/16/16,22
10/23/16,32
10/30/16,35
11/6/16,42
11/13/16,50
11/20/16,60
11/27/16,45
12/4/16,43
12/11/16,50
12/18/16,50
12/25/16,62
1/1/17,44
1/8/17,40
1/15/17,44
