Pos,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle
C,5.15,27.0,26.0,107.0,7.89,4.81
C,5.54,26.5,19.0,97.0,7.6,4.47
C,5.51,25.5,21.0,100.0,8.09,4.84
CB,4.44,37.0,11.0,128.0,6.68,4.18
CB,4.43,34.5,16.0,132.0,6.81,4.14
CB,4.48,34.5,15.0,116.0,6.64,4.34
CB,4.28,37.5,13.0,123.0,7.06,4.22
CB,4.51,35.0,10.0,120.0,6.92,4.02
CB,4.6,31.5,5.0,113.0,6.94,4.56
CB,4.4,29.5,13.0,121.0,7.0,4.32
CB,4.47,32.0,16.0,117.0,6.9,4.32
CB,4.54,32.0,14.0,116.0,6.86,4.02
FB,4.93,32.0,19.0,114.0,7.27,4.34
FB,4.75,28.0,24.0,111.0,7.65,4.45
FS,4.54,34.0,16.0,122.0,6.85,4.07
FS,4.45,32.5,15.0,114.0,6.76,4.08
FS,4.56,43.5,14.0,128.0,6.85,4.2
OG,5.04,28.0,25.0,102.0,7.85,4.9
OG,5.58,23.5,22.0,92.0,8.31,5.21
OG,5.34,25.5,35.0,104.0,7.83,4.93
OG,5.44,20.5,19.0,97.0,7.87,4.78
OG,5.35,32.0,28.0,110.0,7.71,4.56
OT,4.97,28.0,17.0,106.0,7.9,4.84
OT,5.23,29.5,23.0,96.0,8.02,4.94
OT,5.18,30.5,23.0,109.0,7.73,4.58
OT,5.27,26.0,15.0,107.0,7.84,4.6
RB,4.49,30.5,22.0,116.0,7.27,4.53
RB,4.48,37.5,10.0,121.0,6.57,4.22
RB,4.53,36.0,15.0,120.0,7.26,4.56
RB,4.65,35.0,14.0,120.0,6.99,4.34
RB,4.65,33.0,30.0,116.0,7.26,4.37
RB,4.76,30.5,16.0,116.0,7.18,4.46
RB,4.57,29.0,22.0,108.0,7.3,4.56
RB,4.41,35.0,14.0,125.0,7.19,4.19
RB,4.51,36.0,18.0,121.0,6.86,4.18
SS,4.56,31.5,18.0,120.0,6.96,4.13
SS,4.6,32.5,17.0,116.0,7.11,4.36
SS,4.57,32.5,13.0,114.0,7.08,4.28
SS,4.54,33.5,19.0,122.0,6.72,4.13
WR,4.47,35.5,10.0,132.0,6.7,4.09
WR,4.54,32.0,9.0,116.0,6.83,4.22
WR,4.42,34.5,8.0,123.0,6.73,4.14
WR,4.44,29.5,8.0,124.0,6.98,4.28
WR,4.4,30.5,10.0,121.0,7.05,4.19
WR,4.56,29.5,11.0,116.0,7.01,4.2
WR,4.42,36.0,11.0,123.0,6.64,4.15
WR,4.74,30.0,10.0,111.0,6.85,4.12
WR,4.55,36.0,14.0,125.0,7.11,4.29
WR,4.6,31.0,11.0,114.0,7.0,4.39
WR,4.62,31.5,13.0,120.0,6.77,4.46
WR,4.51,26.5,8.0,111.0,7.22,4.54
WR,4.58,35.0,10.0,112.0,6.99,4.28
WR,4.65,31.5,12.0,113.0,6.93,4.46
WR,4.31,37.0,18.0,117.0,7.09,4.33
WR,4.61,31.0,13.0,115.0,7.19,4.49
WR,4.69,28.0,17.0,121.0,7.46,4.33
WR,4.51,32.0,11.0,115.0,6.77,4.0
WR,4.5,33.5,13.0,132.0,6.57,4.21
WR,4.63,33.0,13.0,116.0,6.74,4.01
WR,4.44,32.5,8.0,120.0,7.17,4.37
