Rank,Athlete,Floor,Pommel,Rings,Vault,Parallel,Bar,Total
1,Kohei Uchimura,15.766,14.9,14.733,15.566,15.6,15.8,92.365
2,Oleg Verniaiev,15.033,15.533,15.3,15.5,16.1,14.8,92.266
3,Max Whitlock,15.2,15.875,14.733,15.133,15,14.7,90.641
4,David Belyavskiy,15,14.766,14.533,15.133,15.933,15.133,90.498
5,Lin Chaopan,14.866,14.833,14.733,14.966,15.666,15.166,90.23
6,Deng Shudi,14.966,14.533,14.433,15.266,15.966,14.966,90.13
7,Sam Mikulak,15.2,14.6,14.366,14.566,15.766,15.133,89.631
8,Nile Wilson,14.9,14.066,14.933,15,15.7,14.966,89.565
9,Sergio Sasaki Junior,14.833,14.766,14.433,15.2,14.966,15,89.198
10,Jossimar Calvo,14.65,14.7,14.433,14.833,15.366,14.933,88.915
11,Ry_hei Kat_,15.266,14.9,14.566,15.058,14.9,13.9,88.59
12,Eddy Yusof,14.633,14.033,14.716,15.066,14.933,14.533,87.914
13,Nikolai Kuksenkov,14.733,13.3,14.7,14.966,15.233,14.8,87.732
14,Chris Brooks,14.6,13.2,14.633,14.933,15.066,15.2,87.632
15,Bart Deurloo,14.666,14.733,14.633,14.7,14.3,14.566,87.598
16,Pablo Bragger,14.933,14.033,13.908,14.3,15.033,15.166,87.373
17,Arthur Mariano,15.133,13.4,14.133,14.766,14.633,15.266,87.331
18,Andrey Likhovitskiy,14.3,15.033,13.933,14.033,14.966,14.366,86.631
19,Marcel Nguyen,14.733,12.666,14.6,14.666,14.9,14.466,86.031
20,Andreas Bretschneider,14.733,13.5,13.833,14.533,14.533,13.833,84.965
21,Axel Augis,13.933,13.1,13.933,14.266,14.766,12.9,82.898
22,Oleg Stepko,12.266,13.1,14.533,14.916,13.8,10.466,79.081
