POS,PosScore,NegScore,word
a,0.125,0.0,able
a,0.0,0.75,unable
a,0.0,0.0,dorsal
a,0.0,0.0,ventral
a,0.0,0.0,acroscopic
a,0.0,0.0,basiscopic
a,0.0,0.0,abducting
a,0.0,0.0,adductive
a,0.0,0.0,nascent
a,0.0,0.0,emerging
a,0.25,0.0,dissilient
a,0.25,0.0,parturient
a,0.0,0.0,dying
a,0.0,0.0,moribund
a,0.0,0.0,last
a,0.0,0.0,abridged
a,0.0,0.0,shortened
a,0.0,0.0,half-length
a,0.0,0.0,potted
a,0.0,0.0,unabridged
a,0.5,0.0,uncut
a,0.5,0.0,absolute
a,0.75,0.0,direct
a,0.5,0.5,unquestioning
a,0.125,0.0,infinite
a,0.5,0.125,living
a,0.25,0.5,relative
a,0.0,0.0,relational
a,0.0,0.0,absorptive
a,0.375,0.0,sorbefacient
a,0.0,0.75,assimilatory
a,0.0,0.0,hygroscopic
a,0.0,0.125,receptive
a,0.0,0.0,shock-absorbent
a,0.0,0.0,spongy
a,0.0,0.0,thirsty
a,0.0,0.5,nonabsorptive
a,0.0,0.5,resistant
a,0.0,0.0,surface-assimilative
a,0.0,0.25,chemosorptive
a,0.0,0.25,nonadsorptive
a,0.5,0.0,absorbable
a,0.25,0.0,adsorbate
a,0.0,0.0,abstemious
a,0.0,0.625,abstinent
a,0.5,0.25,spartan
a,0.0,0.0,gluttonous
a,0.0,0.0,crapulous
a,0.0,0.5,crapulous
a,0.0,0.0,wolfish
a,0.0,0.0,greedy
a,0.0,0.125,swinish
a,0.125,0.375,too-greedy
a,0.0,0.0,abstract
a,0.375,0.0,notional
a,0.375,0.25,conceptual
a,0.0,0.0,ideal
a,0.125,0.125,ideological
a,0.625,0.25,concrete
a,0.0,0.0,objective
a,0.0,0.0,tangible
a,0.0,0.25,abundant
a,0.0,0.25,galore
a,0.125,0.0,rich
a,0.0,0.0,voluminous
a,0.25,0.625,easy
a,0.0,0.25,riotous
a,0.0,0.5,thick
a,0.125,0.375,long
a,0.125,0.5,rife
a,0.0,0.25,plentiful
a,0.0,0.0,rampant
a,0.0,0.25,rank
a,0.125,0.5,superabundant
a,0.0,0.0,teeming
a,0.0,0.375,torrential
a,0.125,0.5,verdant
a,0.0,0.25,scarce
a,0.0,0.875,rare
a,0.0,0.625,tight
a,0.0,0.625,mistreated
a,0.0,0.75,battered
a,0.375,0.25,unabused
a,0.625,0.0,acceptable
a,0.25,0.0,bankable
a,0.25,0.625,unimpeachable
a,0.0,0.5,unobjectionable
a,0.125,0.375,unacceptable
a,0.0,0.375,objectionable
a,0.625,0.0,accessible
a,0.375,0.0,reachable
a,0.625,0.0,getatable
a,0.125,0.125,ready_to_hand
a,0.5,0.125,unaccessible
a,0.125,0.0,remote
a,0.125,0.25,untrodden
a,0.0,0.0,unreached
a,0.0,0.625,ungetatable
a,0.5,0.0,accommodative
a,0.75,0.0,obliging
a,0.25,0.25,unobliging
a,0.125,0.25,uncooperative
a,0.5,0.0,accurate
a,0.625,0.0,faithful
a,0.625,0.25,dead-on
a,0.5,0.125,high-fidelity
a,0.5,0.0,surgical
a,0.0,0.0,straight
a,0.125,0.0,true
a,0.875,0.0,veracious
a,0.125,0.625,inaccurate
a,0.0,0.0,outside
a,0.125,0.75,wrong
a,0.0,0.5,unfaithful
a,0.0,0.625,wide_of_the_mark
a,0.125,0.0,accustomed
a,0.0,0.375,wont_to
a,0.0,0.75,unaccustomed
a,0.0,0.125,new
a,0.0,0.125,unused
a,0.0,0.125,acidic
a,0.0,0.375,acid
a,0.0,0.5,acid-forming
a,0.0,0.0,alkaline
a,0.125,0.375,alkalescent
a,0.25,0.0,basic
a,0.125,0.125,base-forming
a,0.25,0.125,saltlike
a,0.5,0.0,amphoteric
a,0.0,0.25,acid-loving
a,0.0,0.0,aciduric
a,0.0,0.25,alkaline-loving
a,0.125,0.0,acknowledged
a,0.5,0.0,recognized
a,0.0,0.125,self-confessed
a,0.25,0.0,assumptive
a,0.375,0.0,declarable
a,0.0,0.0,granted
a,0.125,0.0,putative
a,0.0,0.625,unacknowledged
a,0.0,0.375,unvalued
a,0.25,0.0,unavowed
a,0.0,0.375,unconfessed
a,0.0,0.5,unrecognized
a,0.0,0.0,acquisitive
a,0.375,0.0,accumulative
a,0.0,0.0,prehensile
a,0.0,0.0,possessive
a,0.0,0.0,plundering
a,0.0,0.0,predatory
a,0.25,0.5,voracious
a,0.0,0.5,sordid
a,0.0,0.5,unacquisitive
a,0.0,0.0,acropetal
a,0.0,0.0,basipetal
a,0.5,0.125,active
a,0.0,0.0,astir
a,0.375,0.0,gymnastic
a,0.0,0.0,spry
a,0.5,0.0,hot
a,0.25,0.0,overactive
a,0.125,0.0,on_the_go
a,0.25,0.0,sporty
a,0.375,0.5,inactive
a,0.125,0.0,deskbound
a,0.25,0.375,dormant
a,0.0,0.625,underactive
a,0.25,0.125,torpid
a,0.125,0.0,sedentary
a,0.0,0.0,active
a,0.0,0.125,activated
a,0.0,0.375,inactive
a,0.0,0.625,off
a,0.0,0.625,retired
a,0.0,0.0,active
a,0.25,0.125,brisk
a,0.5,0.0,bustling
a,0.375,0.25,busy
a,0.0,0.5,going
a,0.0,0.0,open
a,0.125,0.375,springy
a,0.25,0.0,inactive
a,0.0,0.0,dark
a,0.25,0.0,dead
a,0.0,0.5,sluggish
a,0.125,0.625,unused
a,0.0,0.0,strikebound
a,0.375,0.5,active
a,0.0,0.25,progressive
a,0.0,0.375,inactive
a,0.125,0.125,dead-end
a,0.0,0.0,flat
a,0.0,0.0,indolent
a,0.125,0.25,latent
